YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2018-09,WEEKENDS/HOLIDAY,20,TRAIN,NE15,3544,11698
2018-09,WEEKDAY,13,TRAIN,EW29,8428,8892
2018-09,WEEKENDS/HOLIDAY,13,TRAIN,EW29,6831,4154
2018-09,WEEKDAY,13,TRAIN,EW30,879,686
2018-09,WEEKENDS/HOLIDAY,13,TRAIN,EW30,919,217
2018-09,WEEKDAY,7,TRAIN,EW32,3085,20319
2018-09,WEEKENDS/HOLIDAY,7,TRAIN,EW32,1109,1970
2018-09,WEEKENDS/HOLIDAY,7,TRAIN,NE14,12938,6923
2018-09,WEEKDAY,7,TRAIN,NE14,104098,37368
2018-09,WEEKENDS/HOLIDAY,13,TRAIN,SE3,1906,1375
2018-09,WEEKDAY,13,TRAIN,SE3,3244,2360
2018-09,WEEKENDS/HOLIDAY,20,TRAIN,EW30,902,764
2018-09,WEEKDAY,20,TRAIN,EW30,4013,678
2018-09,WEEKDAY,12,TRAIN,CC15,30265,38056
2018-09,WEEKDAY,12,TRAIN,NS17,16892,7637
2018-09,WEEKENDS/HOLIDAY,12,TRAIN,CC15,18918,20081
2018-09,WEEKENDS/HOLIDAY,12,TRAIN,NS17,11727,4357
2018-09,WEEKDAY,15,TRAIN,EW26,17892,19264
2018-09,WEEKENDS/HOLIDAY,15,TRAIN,EW26,13993,12305
2018-09,WEEKENDS/HOLIDAY,9,TRAIN,EW23,21793,18177
2018-09,WEEKDAY,9,TRAIN,EW23,48582,47849
2018-09,WEEKENDS/HOLIDAY,21,TRAIN,DT34,741,2527
2018-09,WEEKDAY,21,TRAIN,DT34,2443,5542
2018-09,WEEKDAY,20,TRAIN,DT5,10848,20236
2018-09,WEEKENDS/HOLIDAY,20,TRAIN,DT5,5126,7948
2018-09,WEEKDAY,15,TRAIN,DT22,5291,5453
2018-09,WEEKENDS/HOLIDAY,15,TRAIN,DT22,4160,5137
2018-09,WEEKENDS/HOLIDAY,21,TRAIN,CC27,1483,386
2018-09,WEEKDAY,21,TRAIN,CC27,6755,698
2018-09,WEEKENDS/HOLIDAY,15,TRAIN,SE4,1823,1833
2018-09,WEEKDAY,15,TRAIN,SE4,2606,3595
2018-09,WEEKENDS/HOLIDAY,19,TRAIN,PW6,215,569
2018-09,WEEKDAY,19,TRAIN,PW6,360,2151
2018-09,WEEKDAY,8,TRAIN,NE10,37453,35037
2018-09,WEEKENDS/HOLIDAY,8,TRAIN,NE10,5502,4796
2018-09,WEEKDAY,15,TRAIN,NS5,21493,25864
2018-09,WEEKENDS/HOLIDAY,15,TRAIN,NS5,14468,14974
