YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2019-01,WEEKENDS/HOLIDAY,20,TRAIN,BP5,917,1078
2019-01,WEEKDAY,20,TRAIN,BP5,2438,2949
2019-01,WEEKDAY,12,TRAIN,EW15,52137,51527
2019-01,WEEKENDS/HOLIDAY,12,TRAIN,EW15,9812,12533
2019-01,WEEKDAY,7,TRAIN,SW4,3033,2141
2019-01,WEEKENDS/HOLIDAY,7,TRAIN,SW4,307,410
2019-01,WEEKDAY,22,TRAIN,DT33,3863,32249
2019-01,WEEKENDS/HOLIDAY,22,TRAIN,DT33,1867,11409
2019-01,WEEKENDS/HOLIDAY,11,TRAIN,EW24-NS1,24109,48755
2019-01,WEEKDAY,11,TRAIN,EW24-NS1,42561,77393
2019-01,WEEKDAY,21,TRAIN,NS13,48051,91046
2019-01,WEEKENDS/HOLIDAY,21,TRAIN,NS13,20096,30245
2019-01,WEEKENDS/HOLIDAY,5,TRAIN,NS13,4791,756
2019-01,WEEKDAY,5,TRAIN,NS13,27884,3546
2019-01,WEEKDAY,5,TRAIN,PW6,607,0
2019-01,WEEKENDS/HOLIDAY,5,TRAIN,PW6,101,4
2019-01,WEEKDAY,13,TRAIN,CC21,16427,10481
2019-01,WEEKENDS/HOLIDAY,13,TRAIN,CC21,5005,5734
2019-01,WEEKENDS/HOLIDAY,14,TRAIN,PE7,2086,2124
2019-01,WEEKDAY,14,TRAIN,PE7,3176,4778
2019-01,WEEKDAY,10,TRAIN,CC20,5437,3555
2019-01,WEEKENDS/HOLIDAY,10,TRAIN,CC20,3049,2124
2019-01,WEEKDAY,21,TRAIN,EW25,4749,12421
2019-01,WEEKENDS/HOLIDAY,21,TRAIN,EW25,2830,4026
2019-01,WEEKENDS/HOLIDAY,16,TRAIN,CC2,3292,2934
2019-01,WEEKDAY,16,TRAIN,CC2,9486,5816
2019-01,WEEKENDS/HOLIDAY,14,TRAIN,CC12,2393,2173
2019-01,WEEKDAY,14,TRAIN,CC12,14587,5679
2019-01,WEEKENDS/HOLIDAY,16,TRAIN,NS20,19414,15867
2019-01,WEEKDAY,16,TRAIN,NS20,67233,36872
2019-01,WEEKDAY,16,TRAIN,NS14,25473,33063
2019-01,WEEKENDS/HOLIDAY,16,TRAIN,NS14,12838,12063
2019-01,WEEKENDS/HOLIDAY,11,TRAIN,NS15,9610,5489
2019-01,WEEKDAY,11,TRAIN,NS15,24667,28242
2019-01,WEEKDAY,5,TRAIN,EW21,1469,272
2019-01,WEEKDAY,5,TRAIN,CC22,1208,822
2019-01,WEEKENDS/HOLIDAY,5,TRAIN,EW21,173,17
2019-01,WEEKENDS/HOLIDAY,5,TRAIN,CC22,194,59
2019-01,WEEKDAY,11,TRAIN,BP4,6931,3643
2019-01,WEEKENDS/HOLIDAY,11,TRAIN,BP4,1150,639
2019-01,WEEKENDS/HOLIDAY,11,TRAIN,NS27,747,1588
2019-01,WEEKDAY,11,TRAIN,CE2,160,373
2019-01,WEEKENDS/HOLIDAY,11,TRAIN,CE2,120,394
2019-01,WEEKDAY,11,TRAIN,NS27,5205,4313
2019-01,WEEKDAY,9,TRAIN,CC15,38012,29537
2019-01,WEEKENDS/HOLIDAY,9,TRAIN,NS17,10276,3012
2019-01,WEEKDAY,9,TRAIN,NS17,41478,8989
2019-01,WEEKENDS/HOLIDAY,9,TRAIN,CC15,10293,11369
2019-01,WEEKDAY,6,TRAIN,EW10,21034,4129
2019-01,WEEKENDS/HOLIDAY,6,TRAIN,EW10,3869,1113
2019-01,WEEKDAY,8,TRAIN,NS28,2196,3985
2019-01,WEEKENDS/HOLIDAY,8,TRAIN,NS28,491,1798
2019-01,WEEKENDS/HOLIDAY,7,TRAIN,EW33,2152,2671
2019-01,WEEKDAY,7,TRAIN,EW33,8464,12370
2019-01,WEEKDAY,18,TRAIN,BP12,6457,9744
2019-01,WEEKENDS/HOLIDAY,18,TRAIN,BP12,1557,1684
2019-01,WEEKDAY,0,TRAIN,EW14-NS26,897,432
2019-01,WEEKENDS/HOLIDAY,0,TRAIN,EW14-NS26,222,321
2019-01,WEEKDAY,0,TRAIN,CG2,237,1101
2019-01,WEEKENDS/HOLIDAY,0,TRAIN,CG2,112,156
2019-01,WEEKENDS/HOLIDAY,16,TRAIN,NE5,7269,8117
2019-01,WEEKDAY,16,TRAIN,NE5,17345,15880
2019-01,WEEKENDS/HOLIDAY,11,TRAIN,NE16-STC,24788,18636
2019-01,WEEKDAY,11,TRAIN,NE16-STC,42040,29666
2019-01,WEEKDAY,13,TRAIN,EW9,25036,17206
2019-01,WEEKENDS/HOLIDAY,13,TRAIN,EW9,15272,12037
2019-01,WEEKENDS/HOLIDAY,17,TRAIN,CC6,8814,10788
2019-01,WEEKDAY,17,TRAIN,CC6,14208,14964
2019-01,WEEKDAY,8,TRAIN,NE8,41365,37243
2019-01,WEEKENDS/HOLIDAY,8,TRAIN,NE8,7249,9396
2019-01,WEEKENDS/HOLIDAY,20,TRAIN,CC7,2229,3708
2019-01,WEEKDAY,20,TRAIN,CC7,6349,11139
2019-01,WEEKENDS/HOLIDAY,20,TRAIN,NS3,4423,9646
2019-01,WEEKDAY,20,TRAIN,NS3,11532,35158
2019-01,WEEKDAY,0,TRAIN,BP13,23,164
2019-01,WEEKENDS/HOLIDAY,0,TRAIN,BP13,15,97
2019-01,WEEKDAY,10,TRAIN,SE3,3643,1047
2019-01,WEEKENDS/HOLIDAY,10,TRAIN,SE3,2040,636
2019-01,WEEKENDS/HOLIDAY,9,TRAIN,EW16,1636,3062
2019-01,WEEKDAY,9,TRAIN,EW16,7046,18182
2019-01,WEEKDAY,9,TRAIN,NE3,20709,60412
2019-01,WEEKENDS/HOLIDAY,9,TRAIN,NE3,5291,6505
2019-01,WEEKENDS/HOLIDAY,18,TRAIN,NE16-STC,24075,29882
2019-01,WEEKDAY,18,TRAIN,NE16-STC,68859,157469
2019-01,WEEKDAY,5,TRAIN,EW15,957,1215
2019-01,WEEKENDS/HOLIDAY,5,TRAIN,EW15,221,51
2019-01,WEEKDAY,18,TRAIN,NS7,35736,35502
2019-01,WEEKENDS/HOLIDAY,18,TRAIN,NS7,19916,10094
2019-01,WEEKENDS/HOLIDAY,0,TRAIN,NS15,186,901
2019-01,WEEKDAY,0,TRAIN,NS15,573,1812
2019-01,WEEKENDS/HOLIDAY,15,TRAIN,NS15,8791,7690
2019-01,WEEKDAY,15,TRAIN,NS15,47061,21857
2019-01,WEEKENDS/HOLIDAY,22,TRAIN,DT7,976,1089
2019-01,WEEKDAY,22,TRAIN,DT7,2517,3427
2019-01,WEEKENDS/HOLIDAY,15,TRAIN,PW4,238,94
2019-01,WEEKDAY,15,TRAIN,PW4,406,530
2019-01,WEEKDAY,6,TRAIN,CC16,13832,6566
2019-01,WEEKENDS/HOLIDAY,6,TRAIN,CC16,1464,778
2019-01,WEEKENDS/HOLIDAY,11,TRAIN,BP12,2059,1394
2019-01,WEEKDAY,11,TRAIN,BP12,3081,2034
2019-01,WEEKDAY,13,TRAIN,NE17-PTC,38363,38053
2019-01,WEEKENDS/HOLIDAY,13,TRAIN,NE17-PTC,24299,22524
2019-01,WEEKDAY,15,TRAIN,EW23,51723,45121
2019-01,WEEKENDS/HOLIDAY,15,TRAIN,EW23,21715,21322
2019-01,WEEKENDS/HOLIDAY,20,TRAIN,NE8,32469,21933
2019-01,WEEKDAY,20,TRAIN,NE8,44315,47049
2019-01,WEEKENDS/HOLIDAY,19,TRAIN,EW33,1422,2466
2019-01,WEEKDAY,19,TRAIN,EW33,5742,5809
2019-01,WEEKDAY,7,TRAIN,BP5,9294,3988
2019-01,WEEKENDS/HOLIDAY,7,TRAIN,BP5,808,504
2019-01,WEEKDAY,8,TRAIN,SW6,12232,2476
2019-01,WEEKENDS/HOLIDAY,8,TRAIN,SW6,1926,631
2019-01,WEEKENDS/HOLIDAY,16,TRAIN,EW4,7967,7090
2019-01,WEEKDAY,16,TRAIN,EW4,21754,16490
2019-01,WEEKENDS/HOLIDAY,14,TRAIN,CC2,2951,3506
2019-01,WEEKDAY,14,TRAIN,CC2,6535,8487
2019-01,WEEKDAY,12,TRAIN,NE14,31537,20043
2019-01,WEEKENDS/HOLIDAY,12,TRAIN,NE14,19986,11751
2019-01,WEEKENDS/HOLIDAY,20,TRAIN,NE4,48678,23334
2019-01,WEEKENDS/HOLIDAY,20,TRAIN,DT19,7838,5395
2019-01,WEEKDAY,20,TRAIN,NE4,104232,49203
2019-01,WEEKDAY,20,TRAIN,DT19,21207,11036
2019-01,WEEKDAY,0,TRAIN,SE5,43,335
2019-01,WEEKENDS/HOLIDAY,0,TRAIN,SE5,35,113
2019-01,WEEKENDS/HOLIDAY,23,TRAIN,EW6,756,3633
2019-01,WEEKDAY,23,TRAIN,EW6,1926,8842
2019-01,WEEKENDS/HOLIDAY,12,TRAIN,CC4-DT15,4353,10792
2019-01,WEEKDAY,12,TRAIN,CC4-DT15,22253,32811
2019-01,WEEKDAY,15,TRAIN,DT19,13529,12161
2019-01,WEEKENDS/HOLIDAY,15,TRAIN,DT19,7745,7477
2019-01,WEEKDAY,15,TRAIN,NE4,70405,60769
2019-01,WEEKENDS/HOLIDAY,15,TRAIN,NE4,44632,38991
2019-01,WEEKENDS/HOLIDAY,8,TRAIN,SW1,647,494
2019-01,WEEKDAY,8,TRAIN,SW1,4502,5372
2019-01,WEEKDAY,9,TRAIN,NS10,73014,26383
2019-01,WEEKENDS/HOLIDAY,9,TRAIN,NS10,25636,9958
2019-01,WEEKDAY,7,TRAIN,DT33,82739,18728
2019-01,WEEKENDS/HOLIDAY,7,TRAIN,DT33,6599,2221
2019-01,WEEKENDS/HOLIDAY,0,TRAIN,DT24,14,222
2019-01,WEEKDAY,0,TRAIN,DT24,49,520
2019-01,WEEKENDS/HOLIDAY,0,TRAIN,NS18,97,880
2019-01,WEEKDAY,0,TRAIN,NS18,270,2186
2019-01,WEEKDAY,22,TRAIN,CC1-NE6-NS24,66448,12981
2019-01,WEEKENDS/HOLIDAY,22,TRAIN,CC1-NE6-NS24,21399,6353
2019-01,WEEKENDS/HOLIDAY,21,TRAIN,EW3,4682,9571
2019-01,WEEKDAY,21,TRAIN,EW3,12783,28337
2019-01,WEEKDAY,21,TRAIN,CG1,5492,1429
2019-01,WEEKENDS/HOLIDAY,21,TRAIN,CG1,4216,637
2019-01,WEEKDAY,21,TRAIN,DT35,20047,2603
2019-01,WEEKENDS/HOLIDAY,21,TRAIN,DT35,8871,1265
2019-01,WEEKDAY,13,TRAIN,NS21,33082,54706
2019-01,WEEKENDS/HOLIDAY,13,TRAIN,DT11,19941,17222
2019-01,WEEKENDS/HOLIDAY,13,TRAIN,NS21,17348,20455
2019-01,WEEKDAY,13,TRAIN,DT11,33153,32717
2019-01,WEEKENDS/HOLIDAY,7,TRAIN,CC23,731,3060
2019-01,WEEKDAY,7,TRAIN,CC23,4362,47650
2019-01,WEEKDAY,16,TRAIN,SW1,2958,1613
2019-01,WEEKENDS/HOLIDAY,16,TRAIN,SW1,918,663
2019-01,WEEKDAY,20,TRAIN,NE15,7263,39218
2019-01,WEEKENDS/HOLIDAY,20,TRAIN,NE15,3283,10852
2019-01,WEEKENDS/HOLIDAY,13,TRAIN,EW29,5982,4027
2019-01,WEEKDAY,13,TRAIN,EW29,9039,9384
2019-01,WEEKDAY,13,TRAIN,EW30,1061,822
2019-01,WEEKENDS/HOLIDAY,13,TRAIN,EW30,822,222
2019-01,WEEKENDS/HOLIDAY,7,TRAIN,EW32,1363,3865
2019-01,WEEKDAY,7,TRAIN,EW32,3975,24634
2019-01,WEEKENDS/HOLIDAY,7,TRAIN,NE14,10861,4932
2019-01,WEEKDAY,7,TRAIN,NE14,117164,37278
2019-01,WEEKENDS/HOLIDAY,13,TRAIN,SE3,1715,1289
2019-01,WEEKDAY,13,TRAIN,SE3,3652,3093
2019-01,WEEKENDS/HOLIDAY,20,TRAIN,EW30,885,758
2019-01,WEEKDAY,20,TRAIN,EW30,5096,1001
2019-01,WEEKENDS/HOLIDAY,12,TRAIN,CC15,16879,17408
2019-01,WEEKDAY,12,TRAIN,CC15,31613,40651
2019-01,WEEKENDS/HOLIDAY,12,TRAIN,NS17,10422,3755
2019-01,WEEKDAY,12,TRAIN,NS17,17759,8662
2019-01,WEEKENDS/HOLIDAY,15,TRAIN,EW26,12773,11196
2019-01,WEEKDAY,15,TRAIN,EW26,21147,22143
2019-01,WEEKENDS/HOLIDAY,9,TRAIN,EW23,19207,15456
2019-01,WEEKDAY,9,TRAIN,EW23,56063,57749
2019-01,WEEKDAY,21,TRAIN,DT34,2579,6159
2019-01,WEEKENDS/HOLIDAY,21,TRAIN,DT34,606,2293
2019-01,WEEKENDS/HOLIDAY,20,TRAIN,DT5,4660,7064
2019-01,WEEKDAY,20,TRAIN,DT5,13939,23579
2019-01,WEEKENDS/HOLIDAY,15,TRAIN,DT22,4026,5036
2019-01,WEEKDAY,15,TRAIN,DT22,6704,6506
2019-01,WEEKENDS/HOLIDAY,21,TRAIN,CC27,1029,277
2019-01,WEEKDAY,21,TRAIN,CC27,7283,779
2019-01,WEEKENDS/HOLIDAY,15,TRAIN,SE4,1800,1794
2019-01,WEEKDAY,15,TRAIN,SE4,2929,4284
2019-01,WEEKDAY,19,TRAIN,PW6,678,2614
2019-01,WEEKENDS/HOLIDAY,19,TRAIN,PW6,328,634
2019-01,WEEKDAY,8,TRAIN,NE10,43388,38814
2019-01,WEEKENDS/HOLIDAY,8,TRAIN,NE10,5077,4591
2019-01,WEEKENDS/HOLIDAY,15,TRAIN,NS5,12693,13560
2019-01,WEEKDAY,15,TRAIN,NS5,23973,29498
2019-01,WEEKENDS/HOLIDAY,11,TRAIN,DT13,4195,6900
2019-01,WEEKDAY,11,TRAIN,DT13,8368,14168
2019-01,WEEKENDS/HOLIDAY,20,TRAIN,DT27,2145,3847
2019-01,WEEKDAY,20,TRAIN,DT27,8368,8954
2019-01,WEEKDAY,20,TRAIN,SW3,971,3895
2019-01,WEEKENDS/HOLIDAY,20,TRAIN,SW3,501,1325
2019-01,WEEKDAY,14,TRAIN,EW16,6702,9206
2019-01,WEEKENDS/HOLIDAY,14,TRAIN,EW16,2622,2924
2019-01,WEEKENDS/HOLIDAY,14,TRAIN,NE3,7453,5608
2019-01,WEEKDAY,14,TRAIN,NE3,20532,28137
2019-01,WEEKENDS/HOLIDAY,19,TRAIN,EW26,10098,16296
2019-01,WEEKDAY,19,TRAIN,EW26,29129,86678
2019-01,WEEKENDS/HOLIDAY,6,TRAIN,BP3,1453,194
2019-01,WEEKDAY,6,TRAIN,BP3,17079,1244
2019-01,WEEKDAY,13,TRAIN,EW12,62482,62025
2019-01,WEEKENDS/HOLIDAY,13,TRAIN,DT14,10450,16804
2019-01,WEEKENDS/HOLIDAY,13,TRAIN,EW12,27841,45554
2019-01,WEEKDAY,13,TRAIN,DT14,31689,26002
2019-01,WEEKDAY,8,TRAIN,CG2,17492,46146
2019-01,WEEKENDS/HOLIDAY,8,TRAIN,CG2,7364,9697
2019-01,WEEKDAY,20,TRAIN,NE13,19357,37189
2019-01,WEEKENDS/HOLIDAY,20,TRAIN,NE13,7462,11658
2019-01,WEEKDAY,19,TRAIN,CC15,50967,97453
2019-01,WEEKENDS/HOLIDAY,19,TRAIN,CC15,13790,18628
2019-01,WEEKDAY,19,TRAIN,NS17,24701,36964
2019-01,WEEKENDS/HOLIDAY,19,TRAIN,NS17,5947,5668
2019-01,WEEKDAY,23,TRAIN,CC17,329,1780
2019-01,WEEKENDS/HOLIDAY,23,TRAIN,CC17,139,651
2019-01,WEEKENDS/HOLIDAY,10,TRAIN,DT18,1123,3317
2019-01,WEEKDAY,10,TRAIN,DT18,6012,29824
2019-01,WEEKENDS/HOLIDAY,19,TRAIN,EW23,19934,23333
2019-01,WEEKDAY,19,TRAIN,EW23,78955,104018
2019-01,WEEKENDS/HOLIDAY,14,TRAIN,EW15,11821,11115
2019-01,WEEKDAY,14,TRAIN,EW15,39754,42730
2019-01,WEEKDAY,23,TRAIN,EW12,17444,8351
2019-01,WEEKENDS/HOLIDAY,23,TRAIN,EW12,8184,4154
2019-01,WEEKENDS/HOLIDAY,23,TRAIN,DT14,4428,1931
2019-01,WEEKDAY,23,TRAIN,DT14,10231,3541
2019-01,WEEKDAY,10,TRAIN,NS4,3140,3666
2019-01,WEEKDAY,10,TRAIN,BP1,31677,21167
2019-01,WEEKENDS/HOLIDAY,10,TRAIN,NS4,1689,1992
2019-01,WEEKENDS/HOLIDAY,10,TRAIN,BP1,16428,11405
2019-01,WEEKDAY,22,TRAIN,NS5,10988,40410
2019-01,WEEKENDS/HOLIDAY,22,TRAIN,NS5,4686,15790
